Voltage,Current
0.004,0
0.004,0
0.004,0.000001
0.004,0
0.004,0
0.004,0
0.004,0
0.004,0
0.029,0
0.1,0
0.143,0.000001
0.215,0.000003
0.329,0.000012
0.347,0.000015
0.351,0.000019
0.366,0.000036
0.395,0.000106
0.429,0.00023
0.447,0.000326
0.457,0.000393
0.464,0.000454
0.47,0.000503
0.473,0.000521
0.474,0.000536
0.478,0.000569
0.48,0.000588
0.481,0.000602
0.483,0.000621
0.487,0.000675
0.501,0.000884
-0.003,0.000004
-0.003,0.000004
-0.003,0.000004
-0.003,0.000004
-0.003,0.000004
-0.003,0.000004
-0.003,0.000004
-0.003,0.000004
-0.003,0.000004
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.004,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.003,0.000005
-0.019,0.000005
-0.043,0.000005
-0.068,0.000004
-0.069,0.000003
-0.085,-0.000011
-0.123,-0.000012
-0.137,-0.000013
-0.154,-0.000014
-0.182,-0.000015
-0.188,-0.000016
-0.194,-0.000017
-0.229,-0.000018
-0.247,-0.000028
-0.262,-0.000029
-0.278,-0.00003
-0.291,-0.000031
-0.322,-0.000033
-0.366,-0.000043
-0.394,-0.000044
-0.403,-0.000047
-0.461,-0.000049
-0.486,-0.000051
-0.5,-0.000062
-0.535,-0.000062
-0.545,-0.000063
-0.56,-0.000064
-0.58,-0.000064
-0.583,-0.000065
-0.586,-0.000066
-0.611,-0.000067
-0.615,-0.000067
-0.623,-0.000068
-0.648,-0.000078
-0.673,-0.000081
-0.703,-0.000084
-0.74,-0.000086
-0.761,-0.000088
-0.772,-0.000089
-0.776,-0.000091
-0.786,-0.000092
-0.792,-0.000092
-0.813,-0.000103
-0.823,-0.000104
-0.834,-0.000105
-0.845,-0.000106
-0.856,-0.000107
-0.874,-0.000108
-0.888,-0.000109
-0.895,-0.000109
-0.9,-0.000121
-0.95,-0.000123
-0.998,-0.000135
-1.096,-0.000151
-1.126,-0.000152
-1.146,-0.000152
-1.162,-0.000154
-1.167,-0.000154
-1.176,-0.000155
-1.182,-0.000165
