Voltage (V),Current (A)
0.004,0
0.005,0
0.005,0
0.005,0
0.005,0
0.005,0
0.005,0
0.005,0
0.005,0
0.004,0
0.004,0
0.004,0
0.005,0
0.004,0
0.004,0
0.004,0
0.004,0
0.004,0
0.004,0
0.004,0
0.009,0
0.09,0
0.185,0.000001
0.273,0.000006
0.327,0.000012
0.34,0.000017
0.369,0.000065
0.406,0.000204
0.458,0.000795
0.512,0.001688
-0.002,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.043,-0.000033
-0.115,-0.000062
-0.157,-0.000079
-0.186,-0.000079
-0.186,-0.000079
-0.186,-0.000102
-0.229,-0.000114
-0.249,-0.000117
-0.261,-0.000152
-0.309,-0.00018
-0.363,-0.000182
-0.368,-0.000184
-0.371,-0.000185
-0.372,-0.000185
-0.377,-0.000186
-0.384,-0.000199
-0.388,-0.000202
-0.392,-0.000204
-0.407,-0.000225
-0.414,-0.000223
-0.422,-0.000247
-0.449,-0.000258
-0.456,-0.000262
-0.467,-0.000286
-0.486,-0.000309
-0.525,-0.000341
-0.548,-0.00037
-0.567,-0.000382
-0.615,-0.000438
-0.633,-0.000435
-0.638,-0.000438
-0.642,-0.000437
-0.647,-0.000459
-0.664,-0.000481
-0.681,-0.000507
-0.704,-0.000606
-0.774,-0.000608
-0.784,-0.00061
-0.788,-0.000623
-0.792,-0.000665
-0.827,-0.00068
-0.838,-0.000714
-0.852,-0.000881
-1.024,-0.000974
-1.043,-0.000989
-1.049,-0.001005
-1.064,-0.001024
-1.066,-0.00102
-1.066,-0.00103
-1.066,-0.001034
