Volage,Current
0.003,0
0.003,0.000001
0.003,0
0.003,0.000001
0.003,0
0.003,0.000001
0.003,0.000001
0.003,0.000001
0.003,0
0.003,0.000001
0.003,0
0.003,0.000001
0.003,0.000001
0.003,0.000001
0.003,0
0.003,0.000001
0.003,0.000001
0.003,0
0.003,0.000001
0.003,0
0.003,0.000001
0.003,0.000001
0.003,0
0.003,0.000001
0.003,0
0.004,0.000001
0.004,0.000001
0.004,0
0.003,0.000001
0.003,0
0.004,0.000001
0.004,0.000001
0.003,0.000001
0.004,0
0.004,0.000001
0.003,0
0.012,0.000001
0.035,0.000001
0.079,0.000001
0.136,0
0.154,0.000001
0.162,0.000001
0.165,0
0.168,0.000001
0.17,0.000001
0.188,0.000001
0.213,0.000001
0.234,0.000001
0.246,0.000001
0.269,0.000001
0.277,0.000001
0.282,0.000002
0.284,0.000001
0.285,0.000002
0.288,0.000002
0.292,0.000002
0.298,0.000002
0.315,0.000003
0.333,0.000005
0.345,0.000008
0.351,0.000009
0.357,0.000011
0.364,0.000014
0.37,0.000017
0.377,0.000021
0.383,0.000026
0.39,0.000032
0.399,0.000045
0.41,0.000066
0.428,0.000106
0.441,0.000149
0.454,0.000193
0.458,0.00021
0.464,0.000238
0.474,0.000306
0.489,0.000382
0.498,0.00045
0.508,0.000512
-0.002,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,3.00E-06
-0.003,3.00E-06
-0.003,3.00E-06
-0.003,3.00E-06
-0.002,3.00E-06
-0.002,3.00E-06
-0.003,3.00E-06
-0.002,3.00E-06
-0.003,3.00E-06
-0.003,3.00E-06
-0.003,3.00E-06
-0.003,3.00E-06
-0.003,3.00E-06
-0.002,3.00E-06
-0.003,2.00E-06
-0.003,2.00E-06
-0.003,2.00E-06
-0.002,2.00E-06
-0.002,2.00E-06
-0.002,2.00E-06
-0.002,2.00E-06
-0.002,2.00E-06
-0.104,1.00E-06
-0.112,0.00E+00
-0.113,0.00E+00
-0.113,-1.00E-06
-0.117,-3.00E-06
-0.127,-4.00E-06
-0.136,-5.00E-06
-0.138,-6.00E-06
-0.141,-7.00E-06
-0.142,-7.00E-06
-0.152,-8.00E-06
-0.154,-8.00E-06
-0.156,-9.00E-06
-0.156,-9.00E-06
-0.16,-1.00E-05
-0.191,-1.00E-05
-0.198,-1.10E-05
-0.204,-1.20E-05
-0.212,-1.30E-05
-0.221,-1.40E-05
-0.224,-1.50E-05
-0.223,-1.60E-05
-0.224,-1.70E-05
-0.225,-1.70E-05
-0.229,-1.80E-05
-0.251,-1.80E-05
-0.304,-2.90E-05
-0.325,-2.80E-05
-0.332,-2.80E-05
-0.335,-2.90E-05
-0.345,-3.00E-05
-0.347,-3.00E-05
-0.356,-3.00E-05
-0.36,-3.00E-05
-0.369,-3.00E-05
-0.373,-3.10E-05
-0.376,-3.20E-05
-0.389,-3.20E-05
-0.398,-3.30E-05
-0.399,-3.30E-05
-0.401,-3.40E-05
-0.403,-3.50E-05
-0.403,-3.50E-05
-0.408,-3.60E-05
0,0.00E+00
-0.511,-4.90E-05
-0.513,-5.00E-05
-0.584,-6.00E-05
-0.615,-6.00E-05
-0.63,-6.00E-05
-0.622,-6.00E-05
-0.608,-5.90E-05
-0.59,-5.90E-05
-0.582,-5.80E-05
-0.575,-5.80E-05
-0.517,-4.50E-05
-0.458,-4.30E-05
-0.447,-4.40E-05
-0.492,-4.50E-05
-0.509,-5.70E-05
-0.598,-5.80E-05
-0.605,-5.90E-05
-0.647,-6.00E-05
-0.665,-6.10E-05
-0.668,-6.20E-05
-0.684,-6.30E-05
-0.689,-6.30E-05
-0.701,-6.30E-05
-0.707,-6.50E-05
-0.714,-6.60E-05
-0.742,-6.80E-05
-0.747,-6.90E-05
-0.749,-7.00E-05
-0.755,-7.10E-05
-0.777,-7.20E-05
-0.812,-8.20E-05
-0.83,-8.40E-05
-0.871,-8.50E-05
-0.875,-8.60E-05
-0.886,-8.70E-05
-0.926,-8.80E-05
-0.946,-8.90E-05
-0.953,-9.00E-05
-0.968,-9.00E-05
-0.965,-9.20E-05
-0.965,-9.40E-05
-0.971,-9.50E-05
-0.974,-9.70E-05
-1.006,-9.80E-05
